Line,Original,Corrected,FullContent
7,"- 다우 +0.55%, 나스닥 +1.13%, S&P 500 +0.75%, 러셀 2000 +0.63% 올랐습니다.","다우 +0.55%, 나스닥 +1.13%, S&P500 +0.75%, 러셀2000은 +0.63% 올랐습니다.","- 다우 +0.55%, 나스닥 +1.13%, S&P 500 +0.75%, 러셀 2000 +0.63% 올랐습니다. -> 다우 +0.55%, 나스닥 +1.13%, S&P500 +0.75%, 러셀2000은 +0.63% 올랐습니다. (조사 추가)"
8,- 대중국 매출 증가 기대감으로 급등했습니다,대중국 매출 증가에 대한 기대감으로 급등했습니다,- 대중국 매출 증가 기대감으로 급등했습니다 -> 대중국 매출 증가에 대한 기대감으로 급등했습니다
9,- 코로나 정책 완화 기대감,코로나 정책 완화에 대한 기대,- 코로나 정책 완화 기대감 -> 코로나 정책 완화에 대한 기대
11,- S&P 500,S&P500,- S&P 500 -> S&P500
12,- 러셀 2000,러셀2000,- 러셀 2000 -> 러셀2000
16,- 국방부,미 국방부,- 국방부 -> 미 국방부
17,- 대규모 클라우드 계약 체결,대규모 클라우드 컴퓨팅 프로젝트 관련 계약 체결,- 대규모 클라우드 계약 체결 -> 대규모 클라우드 컴퓨팅 프로젝트 관련 계약 체결
18,- 달러/원 환율은 3원 하락 출발이 예상됩니다.,"N답변F 달러/원 환율 1개월물은 1,316.10원으로 이를 반영하면 달러/원 환율은 3원 하락 출발이 예상됩니다.","- 달러/원 환율은 3원 하락 출발이 예상됩니다. -> N답변F 달러/원 환율 1개월물은 1,316.10원으로 이를 반영하면 달러/원 환율은 3원 하락 출발이 예상됩니다."
19,- '한국 증시 전망'에 '미 증시가 반발 매수세가 유입되며 ~ 긍정적인 영향을 줄 것으로 전망' 부분을 포함해야 할 듯 함,주요 내용으로 보임,- '한국 증시 전망'에 '미 증시가 반발 매수세가 유입되며 ~ 긍정적인 영향을 줄 것으로 전망' 부분을 포함해야 할 듯 함 -> 주요 내용으로 보임
24,"- '소제목'은 목록형 답변이 아니기 때문에, 4의 배수로 하위 레벨 불릿 사용할 필요 X",답변 작성하시고 툴에서 마크다운 어떻게 적용됐는지 한번 확인 필요. (현재 툴에 마크다운 제대로 적용되어 있지 않음),"- '소제목'은 목록형 답변이 아니기 때문에, 4의 배수로 하위 레벨 불릿 사용할 필요 X -> 답변 작성하시고 툴에서 마크다운 어떻게 적용됐는지 한번 확인 필요. (현재 툴에 마크다운 제대로 적용되어 있지 않음)"
